OrganizationType,District,OrganizationCode,OrganizationName,Street,City,State,ZIP,Phone,Fax,Website,EdProgram,ProgramType,InterDistrictMagnet,PreKindergarten,Kindergarten,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,SchoolCT,longitude,latitude
Public Charter Schools,Achievement First Hartford Academy Inc. District,2880113,Achievement First Hartford Academy Inc.,305 Greenfield Street,Hartford,CT,6112,860-695-6685,860-722-8138,www.achievementfirst.org,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Achievement First Hartford Academy Inc., Hartford, CT",-72.6973441,41.7839665
Public Charter Schools,Amistad Academy District,2795113,Amistad Academy,130 Edgewood Avenue,New Haven,CT,6511,203-772-7000,203-772-2520,www.achievementfirst.org,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Amistad Academy, New Haven, CT",-72.9478799,41.2934662
Public Schools,Ansonia School District,26111,Ansonia High School,20 Pulaski Hwy.,Ansonia,CT,06401-2561,203-736-5060,NA,www.ansonia.org/schools/high/high.asp,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ansonia High School, Ansonia, CT",-73.0656051,41.3268268
Public Schools,Bethel School District,96111,Bethel High School,300 Whittlesey Dr.,Bethel,CT,06801-1517,203-794-8600,NA,www.bethel.k12.ct.us/schools/bethel_high_school,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bethel High School, Bethel, CT",-73.3938593,41.3782134
Public Schools,Bloomfield School District,116111,Bloomfield High School,5 Huckleberry Ln.,Bloomfield,CT,06002-3190,860-286-2630,860-242-9491,www.bloomfieldschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bloomfield High School, Bloomfield, CT",-72.7260467,41.8278753
Public Schools,Bloomfield School District,116311,Global Experience Magnet School,"44 Griffin Rd., South",Bloomfield,CT,6002,860-769-6600,860-769-6605,www.bloomfieldschools.org,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Global Experience Magnet School, Bloomfield, CT",-72.7365741,41.871232
Public Schools,Branford School District,146111,Branford High School,185 East Main St.,Branford,CT,06405-3767,203-488-7291,NA,www.branfordhigh.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Branford High School, Branford, CT",-72.8014264,41.2876455
Public Schools,Bridgeport School District,150811,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",840 Old Town Road,Bridgeport,CT,6606,203-275-3300,NA,bridgeportedu.com,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus, Bridgeport, CT",-73.1848239,41.22511
Public Schools,Bridgeport School District,156111,Bassick High School,1181 Fairfield Ave.,Bridgeport,CT,06605-1119,203-576-7350,NA,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid350,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bassick High School, Bridgeport, CT",-73.2071821,41.1732849
Public Schools,Bridgeport School District,150611,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",840 Old Town Road,Bridgeport,CT,6606,203-275-3300,NA,bridgeportedu.com,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus, Bridgeport, CT",-73.1848239,41.22511
Public Schools,Bridgeport School District,156211,Central High School,1 Lincoln Blvd.,Bridgeport,CT,06606-5502,203-576-7377,NA,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid351,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Central High School, Bridgeport, CT",-73.2054877,41.1889732
Public Schools,Bridgeport School District,151511,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,840 Old Town Road,Bridgeport,CT,6606,203-275-3300,NA,bridgeportedu.com,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus, Bridgeport, CT",-73.1848239,41.22511
Public Schools,Bridgeport School District,156311,Warren Harding High School,1734 Central Ave.,Bridgeport,CT,06610-2763,203-576-7330,NA,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid352,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Warren Harding High School, Bridgeport, CT",-73.1668237,41.1922148
Public Schools,Bristol School District,176111,Bristol Central High School,480 Wolcott St.,Bristol,CT,06010-6480,860-584-7735,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bristol Central High School, Bristol, CT",-72.9607174,41.6612449
Public Schools,Bristol School District,176211,Bristol Eastern High School,632 King St.,Bristol,CT,06010-4477,860-584-7876,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bristol Eastern High School, Bristol, CT",-72.9220947,41.6859286
Public Schools,Brookfield School District,186111,Brookfield High School,45 Long Meadow Hill Rd.,Brookfield,CT,06804-1311,203-775-7725,NA,www.brookfield.k12.ct.us/brookfield-high-school,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Brookfield High School, Brookfield, CT",-73.3910219,41.4785235
Public Schools,Canton School District,236111,Canton High School,76 Simonds Avenue,Canton,CT,06019-1207,860-693-7707,NA,www.cantonschools.org/chs,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Canton High School, Canton, CT",-72.9166189,41.8263299
Public Charter Schools,Capital Preparatory Harbor School Inc. District,2970113,Capital Preparatory Harbor School Inc.,777 Main Street,Bridgeport,CT,6604,475-422-5900,NA,www.capitalprepharbor.org,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Capital Preparatory Harbor School Inc., Bridgeport, CT",-72.6756774,41.7726195
Regional Education Service Center Schools,Capitol Region Education Council,2415114,Academy of Aerospace and Engineering,1101 Kennedy Road,Windsor,CT,6095,860-757-6347,NA,www.crecschools.org/,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Academy of Aerospace and Engineering, Windsor, CT",-72.6530267,41.895294
Regional Education Service Center Schools,Capitol Region Education Council,2416514,Academy of Science and Innovation,600 Slater Road,New Britain,CT,6053,860-298-0602,NA,www.crec.org/schools/magnet.php,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Academy of Science and Innovation, New Britain, CT",-72.8101891,41.6843968
Regional Education Service Center Schools,Capitol Region Education Council,2416414,Greater Hartford Academy of  the Arts High School - Full Time,15 Vernon St.,Hartford,CT,6106,860-757-6321,NA,www.crec.org/schools/magnet.php,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Greater Hartford Academy of  the Arts High School - Full Time, Hartford, CT",-72.6838407,41.7510704
Regional Education Service Center Schools,Capitol Region Education Council,2415214,Public Safety Academy,1617 King Street,Enfield,CT,6082,860-253-0274,NA,www.crec.org/schools/magnet.php,NA,NA,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Public Safety Academy, Enfield, CT",-72.5999146,41.9480544
Public Schools,Cheshire School District,256111,Cheshire High School,525 South Main St.,Cheshire,CT,06410-3198,203-250-2511,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Cheshire High School, Cheshire, CT",-72.9070268,41.4901527
Public Schools,Colchester School District,286111,Bacon Academy,611 Norwich Ave.,Colchester,CT,06415-2142,860-537-2378,860-537-5440,www.colchesterct.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bacon Academy, Colchester, CT",-72.3022522,41.5768416
Public Charter Schools,Common Ground High School District,2686113,Common Ground High School,358 Springside Ave.,New Haven,CT,6515,203-389-4333,NA,www.commongroundct.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Common Ground High School, New Haven, CT",-72.959558,41.3381619
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001916,E. C. Goodwin Technical High School,735 Slater Rd.,New Britain,CT,06053-2200,860-827-7736,NA,www.cttech.org/GOODWIN/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"E. C. Goodwin Technical High School, New Britain, CT",-72.8056092,41.6864745
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001416,Eli Whitney Technical High School,100 Fairview Ave,Hamden,CT,6514,203-397-4031,NA,www.cttech.org/WHITNEY/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Eli Whitney Technical High School, Hamden, CT",-72.9420807,41.3420336
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002716,Ella T. Grasso Technical High School,189 Fort Hill Rd.,Groton,CT,06340-4803,860-448-0220,NA,www.cttech.org/GRASSO/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ella T. Grasso Technical High School, Groton, CT",-72.0169418,41.340947
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002516,Emmett O'Brien Technical High School,141 Prindle Ave.,Ansonia,CT,06401-2561,203-732-1800,NA,www.cttech.org/OBRIEN/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Emmett O'Brien Technical High School, Ansonia, CT",-73.063952,41.3345319
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001316,H. H. Ellis Technical High School,613 Upper Maple St.,Danielson,CT,6239,860-412-7500,860-779-2565,www.cttech.org/ellis/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"H. H. Ellis Technical High School, Danielson, CT",-71.894179,41.81902
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001216,Henry Abbott Technical High School,21 Hayestown Ave.,Danbury,CT,6811,203-797-4460,NA,www.cttech.org/ABBOTT/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Henry Abbott Technical High School, Danbury, CT",-73.4544617,41.4136865
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002116,J. M. Wright Technical High School,120 Bridge St.,Stamford,CT,6905,203-324-7363,NA,www.cttech.org/wright/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"J. M. Wright Technical High School, Stamford, CT",-73.5477359,41.0621121
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002016,Norwich Technical High School,7 Mahan Drive,Norwich,CT,06360-7044,860-889-8453,NA,www.cttech.org/norwich/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Norwich Technical High School, Norwich, CT",-72.0778441,41.5495998
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002216,Oliver Wolcott Technical High School,75 Oliver St.,Torrington,CT,06790-3859,860-496-5300,NA,www.cttech.org/WOLCOTT/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Oliver Wolcott Technical High School, Torrington, CT",-73.111748,41.811456
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002616,Platt Technical High School,600 Orange Ave.,Milford,CT,06461-2157,203-783-5300,NA,www.cttech.org/platt/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Platt Technical High School, Milford, CT",-73.0464059,41.2496685
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9001816,Vinal Technical High School,60 Daniels St.,Middletown,CT,06457-4941,860-344-7100,NA,www.cttech.org/VINAL/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Vinal Technical High School, Middletown, CT",-72.6745955,41.5282037
CT Technical Education and Career Schools,Connecticut Technical Education and Career System,9002316,W. F. Kaynor Technical High School,43 Tompkins St.,Waterbury,CT,06708-1416,203-596-4302,NA,www.cttech.org/KAYNOR/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"W. F. Kaynor Technical High School, Waterbury, CT",-73.066431,41.575529
Public Schools,Coventry School District,326111,Coventry High School,78 Ripley Hill Road,Coventry,CT,06238-1653,860-742-7346,NA,www.coventrypublicschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Coventry High School, Coventry, CT",-72.3121622,41.782122
Public Schools,Cromwell School District,336111,Cromwell High School,1 Donald Harris Dr.,Cromwell,CT,06416-1698,860-632-4841,NA,www.cromwell.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Cromwell High School, Cromwell, CT",-72.6600495,41.6149599
Public Schools,Danbury School District,346211,Alternative Center For Excellence,26 Locust Ave.,Danbury,CT,06810-6147,203-797-4786,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Alternative Center For Excellence, Danbury, CT",-73.4413943,41.4014741
Public Schools,Danbury School District,346111,Danbury High School,43 Clapboard Ridge Rd.,Danbury,CT,06811-4529,203-797-4803,NA,www.danbury.k12.ct.us/dhsweb/Main/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Danbury High School, Danbury, CT",-73.4703176,41.4164699
Public Schools,Darien School District,356111,Darien High School,80 High School Ln.,Darien,CT,06820-3399,203-655-3981,NA,www.darienps.org/dhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Darien High School, Darien, CT",-73.4911221,41.0856753
Public Schools,Derby School District,376111,Derby High School,75 Chatfield Street,Derby,CT,6418,203-736-5032,NA,https://www.derbyps.org/page.cfm?p4,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Derby High School, Derby, CT",-73.0979851,41.3336597
Public Schools,East Granby School District,406111,East Granby High School,95 South Main St.,East Granby,CT,06026-9550,860-653-2541,NA,www.eastgranby.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Granby High School, East Granby, CT",-72.7280786,41.9329394
Public Schools,East Haddam School District,416111,Nathan Hale-Ray High School,"15 School Drive, P.O. Box 404",Moodus,CT,06469-0404,860-873-5065,860-873-5074,www.easthaddamschools.org/nhrhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Nathan Hale-Ray High School, Moodus, CT",-72.4434614,41.493033
Public Schools,East Hampton School District,426111,East Hampton High School,15 North Maple St.,East Hampton,CT,06424-1064,860-365-4030,NA,www.easthamptonct.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Hampton High School, East Hampton, CT",-72.5127816,41.5824021
Public Schools,East Hartford School District,436211,East Hartford High School,869 Forbes St.,East Hartford,CT,06118-1921,860-622-5200,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Hartford High School, East Hartford, CT",-72.6049089,41.7547461
Public Schools,East Hartford School District,436411,Stevens Alternate High School,40 Butternut Dr.,East Hartford,CT,6118,860-622-5999,NA,www.,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stevens Alternate High School, East Hartford, CT",-72.5954078,41.7560911
Public Schools,East Haven School District,446111,East Haven High School,35 Wheelbarrow Ln.,East Haven,CT,6513,203-468-3254,NA,www.east-haven.k12.ct.us/ehhs/index.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Haven High School, East Haven, CT",-72.83221,41.329034
Public Schools,East Lyme School District,456111,East Lyme High School,30 Chesterfield Rd.,East Lyme,CT,06333-1244,860-739-6946,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Lyme High School, East Lyme, CT",-72.2127308,41.3693373
Public Schools,East Windsor School District,476111,East Windsor High School,76 South Main St.,East Windsor,CT,06088-9741,860-623-3361,NA,eastwindsork12.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"East Windsor High School, East Windsor, CT",-72.6116366,41.9011308
Public Schools,Ellington School District,486111,Ellington High School,37 Maple St.,Ellington,CT,06029-3333,860-896-2352,NA,www.ellingtonschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ellington High School, Ellington, CT",-72.4619707,41.9096994
Public Charter Schools,Elm City College Preparatory School District,2890113,Elm City College Preparatory School,407 James Street,New Haven,CT,6513,203-772-7010,203-498-0712,www.achievementfirst.org,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"Elm City College Preparatory School, New Haven, CT",-72.9033373,41.313801
Public Schools,Enfield School District,496111,Enfield High School,1264 Enfield St.,Enfield,CT,06082-4919,860-253-5540,860-253-5555,www.enfieldschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Enfield High School, Enfield, CT",-72.5965511,41.9786588
Public Charter Schools,Explorations District,2726113,Explorations,71 Spencer St.,Winsted,CT,6098,860-738-9070,860-738-9092,www.ExplorationsCS.com,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Explorations, Winsted, CT",-73.0757866,41.9294257
Public Schools,Fairfield School District,516011,Fairfield Ludlowe High School,785 Unquowa Rd.,Fairfield,CT,6824,203-255-7201,NA,fairfieldschools.org/schools/flhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Fairfield Ludlowe High School, Fairfield, CT",-73.263421,41.1495
Public Schools,Fairfield School District,516211,Fairfield Warde High School,755 Melville Ave.,Fairfield,CT,6825,203-255-8449,NA,fairfieldschools.org/schools/fwhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Fairfield Warde High School, Fairfield, CT",-73.234124,41.186856
Public Schools,Glastonbury School District,546111,Glastonbury High School,330 Hubbard St.,Glastonbury,CT,06033-3047,860-652-7200,860-652-7267,sites.google.com/a/glastonburyus.org/ghs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Glastonbury High School, Glastonbury, CT",-72.5936241,41.7015655
Public Schools,Granby School District,566111,Granby Memorial High School,315 Salmon Brook St.,Granby,CT,06035-1804,860-844-3014,860-844-3029,www.granby.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Granby Memorial High School, Granby, CT",-72.7926687,41.959961
Public Schools,Greenwich School District,576111,Greenwich High School,10 Hillside Rd.,Greenwich,CT,06830-4835,203-625-8000,NA,www.greenwichschools.org/greenwich-high-school,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Greenwich High School, Greenwich, CT",-73.6122393,41.0397676
Public Schools,Griswold School District,586211,Griswold High School,267 Slater Ave.,Griswold,CT,6351,860-376-7640,NA,griswold.k12.ct.us/index.cfm?Menu400&Id122,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Griswold High School, Griswold, CT",-71.981407,41.5953532
Public Schools,Groton School District,596111,Robert E. Fitch High School,101 Groton Long Point Road,Groton,CT,06340-4861,860-449-7200,NA,www.groton.k12.ct.us/WWW/fsr/falcon.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Robert E. Fitch High School, Groton, CT",-72.0129565,41.3403414
Public Schools,Guilford School District,606111,Guilford High School,605 New England Rd.,Guilford,CT,06437-1838,203-453-2741,NA,ghs.guilfordschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Guilford High School, Guilford, CT",-72.7122669,41.3131182
Public Schools,Hamden School District,626111,Hamden High School,2040 Dixwell Ave.,Hamden,CT,06514-2404,203-407-2040,NA,www.hamden.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Hamden High School, Hamden, CT",-72.9223406,41.367806
Public Schools,Hartford School District,647111,Bulkeley High School,300 Wethersfield Avenue,Hartford,CT,06114-1409,860-695-1011,860-247-3491,bulkeley.hartfordschools.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Bulkeley High School, Hartford, CT",-72.672916,41.7478466
Public Schools,Hartford School District,646911,Capital Preparatory Magnet School,1304 Main Street,Hartford,CT,6103,860-695-9800,860-722-8520,https://capitalprep.org/,NA,NA,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Capital Preparatory Magnet School, Hartford, CT",-72.6756774,41.7726195
Public Schools,Hartford School District,646411,Classical Magnet School,85 Woodland Street,Hartford,CT,6105,860-695-9100,860-722-6449,www.classicalmagnet.org/,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Classical Magnet School, Hartford, CT",-72.7014245,41.7731556
